City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,plastun,44.7561,136.2939,60.35,97,100,5.68,RU,1692033970
278,langepas,61.2544,75.2124,58.3,83,98,3.76,RU,1692033971
279,prince rupert,54.3161,-130.3201,57.29,100,75,8.05,CA,1692033971
280,carnarvon,-24.8667,113.6333,63.57,65,0,16.44,AU,1692033971
281,sirjan,29.452,55.6814,79.79,10,0,23.22,IR,1692033972
282,vernon,50.2581,-119.2691,82.62,34,1,2.3,CA,1692033973
283,malango,-2.9627,119.9001,65.28,98,77,1.59,ID,1692033973
284,cidade velha,14.9167,-23.6167,84.67,79,20,11.5,CV,1692033973
285,zhirnovsk,50.9845,44.7735,73.29,50,0,8.28,RU,1692033972
286,ko pha ngan,9.7578,100.0291,77.7,79,100,20.87,TH,1692033973
287,margate,51.3813,1.3862,70.7,71,45,8.01,GB,1692033687
288,long beach,33.767,-118.1892,82.94,81,0,8.99,US,1692033796
289,yazihan,38.5947,38.18,86.27,16,0,4.61,TR,1692033974
290,mount isa,-20.7333,139.5,51.57,71,7,3.44,AU,1692033689
291,bardai,11.65,7.2333,75.58,77,97,5.55,NG,1692033974
292,escanaba,45.7453,-87.0646,71.96,60,0,4.61,US,1692033974
293,jeddah,21.5169,39.2192,93.06,62,40,5.75,SA,1692033975
294,hammerfest,70.6634,23.6821,63.05,77,75,5.75,NO,1692033975
295,port macquarie,-31.4333,152.9167,55.89,88,84,11.25,AU,1692033975
296,shagonar,51.5333,92.8,51.6,77,86,2.28,RU,1692033975
297,alibag,18.6411,72.8792,84.27,80,94,12.33,IN,1692033975
298,khovd,48.0056,91.6419,64.65,22,100,5.41,MN,1692033975
299,namie,37.4833,141.0,79.72,93,11,2.98,JP,1692033976
300,sirte,31.2089,16.5887,81.1,55,0,13.33,LY,1692033976
301,la sarre,48.8002,-79.1996,68.95,48,9,6.71,CA,1692033976
302,lazaro cardenas,17.9583,-102.2,88.5,63,54,3.74,MX,1692033976
303,glogow,51.6636,16.0845,79.45,61,55,10.13,PL,1692033976
304,mendoza,-32.8908,-68.8272,69.33,21,0,5.75,AR,1692033976
305,sao vicente,-23.9631,-46.3919,70.27,59,100,5.75,BR,1692033977
306,saraburi,14.6084,100.9682,85.12,79,95,5.64,TH,1692033977
307,arraial do cabo,-22.9661,-42.0278,67.96,88,100,11.5,BR,1692033977
308,tommot,58.9564,126.2925,60.44,98,99,3.74,RU,1692033977
309,vung tau,10.346,107.0843,81.19,84,32,12.82,VN,1692033978
310,al fqih ben calah,32.5009,-6.6906,102.92,25,40,13.42,MA,1692033978
311,hami,42.8,93.45,83.3,17,63,15.32,CN,1692033978
312,hadibu,12.65,54.0333,79.66,76,62,15.39,YE,1692033978
313,yenangyaung,20.4667,94.8833,81.7,76,91,10.0,MM,1692033978
314,holualoa,19.6228,-155.9522,76.87,69,20,5.01,US,1692033717
315,maloye ganyushkino,46.6,49.2667,79.93,67,0,12.1,KZ,1692033979
316,sinabang,2.4803,96.3801,77.18,83,97,2.98,ID,1692033979
317,cheremukhovo,60.3484,59.9851,70.5,63,88,1.39,RU,1692033979
318,tsiombe,-25.3,45.4833,72.01,79,39,2.21,MG,1692033980
319,namtsy,62.7161,129.6658,58.78,97,100,8.08,RU,1692033980
320,bikenibeu village,1.3673,173.1241,78.76,94,75,0.0,KI,1692033980
321,new norfolk,-42.7826,147.0587,38.71,91,70,2.55,AU,1692033980
322,flin flon,54.7682,-101.865,73.24,64,40,10.36,CA,1692033980
323,durazno,-33.4131,-56.5006,66.72,38,46,14.0,UY,1692033981
324,veraval,20.9,70.3667,79.34,87,100,16.53,IN,1692033981
325,cooper's town,26.8667,-77.5167,85.37,72,21,9.78,BS,1692033981
326,musan-up,42.2261,129.2078,64.99,99,97,1.3,KP,1692033981
327,churu,28.3,74.95,91.17,47,99,12.93,IN,1692033982
328,nyurba,63.2842,118.3319,58.48,81,100,3.85,RU,1692033982
329,timimoun,29.2639,0.231,107.98,9,0,13.8,DZ,1692033982
330,swift current,50.2834,-107.8014,83.21,26,0,10.36,CA,1692033767
